source,rel,target
src_cxa,illustrates,diffdet
src_susp,reports,suspension
d1,has,kinetics
kinetics,reproduces,suspension
kinetics,validates,loop
src_borys,demonstrates,suspension
src_kropp,demonstrates,suspension
src_traj,reports,suspension
src_manstein,defines,kinetics
src_manstein,demonstrates,suspension
src_galv,informs,kinetics
src_lads,specifies,opcua
gateway,bridges_to,opcua
d4,has,ctrl_split
ctrl_split,constrains,loop
csv,validates,ctrl_split
d5,has,devprofile
devprofile,uses,opcua
gateway,implements,devprofile
cpv,feeds,loop
src_manstein,demonstrates,cpv
recipe_executor,implements,loop
recipe_dsl,defines,recipe_executor
rule_engine,evaluates,recipe_executor
state_machine_l1,governs,recipe_executor
l0_local_pid,controls,closeddev
l0_fail_safe,protects,l0_local_pid
ctrl_split,separates,l0_local_pid
ctrl_split,separates,recipe_executor
ax_bayesian,optimizes,bbo
botorch,powers,ax_bayesian
multi_fidelity,uses,kinetics
multi_fidelity,extends,bbo
safe_bo,constrains,bbo
batch_bo,extends,bbo
llm_orchestrator,extends,loop
llm_orchestrator,mediates,human_approval
approval_workflow,requires,human_approval
approval_workflow,constrains,loop
idempotency,ensures,loop
validate_tool_call,constrains,recipe_executor
set_perfusion_rate,part_of,recipe_executor
set_agitation_rpm,part_of,recipe_executor
trigger_passage_l1,triggers,passage
take_sample_l1,feeds,cpv
recipe_executor,commands,dispense
recipe_executor,commands,closeddev
bbo,optimizes,suspension
kinetics,validates,recipe_executor
kinetics,defines,cpp_glucose
kinetics,defines,cpp_lactate
kinetics,defines,cpp_glutamine
kinetics,defines,cpp_osmolality
kinetics,defines,cpp_aggregate_diameter
src_manstein,defines,cpp_perfusion_rate
src_borys,defines,cpp_agitation
src_borys,constrains,cpp_aggregate_diameter
cpp_perfusion_rate,controls,cpp_glucose
cpp_perfusion_rate,controls,cpp_lactate
cpp_perfusion_rate,controls,cpp_osmolality
cpp_glucose,triggers,perfusion_trigger
cpp_lactate,triggers,perfusion_trigger
cpp_osmolality,triggers,perfusion_trigger
perfusion_trigger,commands,tool_set_perfusion_rate
ramp_limit,constrains,tool_set_perfusion_rate
ramp_limit,constrains,tool_set_agitation_rpm
cpp_aggregate_diameter,triggers,tool_trigger_passage
cpp_vcd,triggers,tool_trigger_passage
y_27632,part_of,passage
tool_trigger_passage,requires,y_27632
cpv,measures,cpp_vcd
cpv,measures,cpp_glucose
cpv,measures,cpp_lactate
cpv,measures,cpp_glutamine
cpv,measures,cpp_osmolality
cpv,measures,cpp_ammonia
cpv,measures,cpp_viability
envmon,measures,cpp_ph
envmon,measures,cpp_do
envmon,measures,cpp_temp
bbo,optimizes,cpp_agitation
bbo,optimizes,cpp_perfusion_rate
bbo,optimizes,cpp_aggregate_diameter
ctrl_split,constrains,cpp_ph
ctrl_split,constrains,cpp_do
ctrl_split,constrains,cpp_temp
ctrl_split,constrains,cpp_agitation
devprofile,contains,cpp_ph
devprofile,contains,cpp_do
devprofile,contains,cpp_temp
devprofile,contains,cpp_agitation
devprofile,contains,cpp_perfusion_rate
qccrit,verifies,cpp_viability
qccrit,verifies,cpp_aggregate_diameter
src_yehya2024,supports,cpp_agitation
src_xing2008,informs,cpp_osmolality
src_nova_flex2,enables,cpv
loop,commands,tool_set_perfusion_rate
loop,commands,tool_set_agitation_rpm
loop,commands,tool_trigger_passage
csv,validates,ramp_limit
opcua,contains,lads_functional_unit
lads_functional_unit,has,lads_sensor_function
lads_functional_unit,has,lads_controller_function
lads_functional_unit,has,lads_actuator_function
lads_functional_unit,has,lads_program_result
lads_sensor_function,provides,envmon
lads_sensor_function,provides,cpv
lads_controller_function,commands,closeddev
lads_actuator_function,commands,dispense
lads_program_result,records,ebr
sila,contains,sila_feature
sila_feature,integrates,peripheral_sampler
sila_feature,integrates,peripheral_dispenser
sila_feature,integrates,peripheral_atline_analyzer
peripheral_atline_analyzer,verifies,cpv
devprofile,defines,lads_functional_unit
devprofile,defines,sila_feature
devprofile,defines,mqtt_topic_contract
gateway,translates,lads_functional_unit
gateway,translates,sila_feature
gateway,bridges_to,mqtt_topic_contract
gateway_cmd_ack,implements,mqtt_topic_contract
icd_setpoint_envelope,constrains,lads_controller_function
icd_setpoint_envelope,constrains,lads_actuator_function
icd_setpoint_envelope,validates,ctrl_split
src_lads,specifies,lads_functional_unit
src_sila,specifies,sila_feature
src_mqtt5,specifies,mqtt_topic_contract
cpv,uses,measurement_vcd_capacitance
cpv,uses,measurement_raman_inline
cpv,uses,measurement_atline_nova
cpv,uses,measurement_aggregate_imaging
cpv,uses,measurement_fbrm_cld
cpv,uses,measurement_ovizio_dhm
measurement_vcd_capacitance,state_for,loop
measurement_raman_inline,state_for,loop
measurement_atline_nova,state_for,loop
measurement_aggregate_imaging,state_for,loop
measurement_fbrm_cld,state_for,loop
measurement_ovizio_dhm,state_for,loop
measurement_vcd_capacitance,feeds,growth
measurement_atline_nova,feeds,growth
measurement_aggregate_imaging,evaluates,qccrit
measurement_aggregate_imaging,triggers,passage
dlmodel,powers,measurement_aggregate_imaging
bf,input_to,measurement_aggregate_imaging
monitoring_ammonia_atline,state_for,loop
monitoring_quality_offline,verifies,qccrit
monitoring_quality_offline,optimizes,bbo
monitoring_sterility_offline,guards,closeddev
monitoring_sterility_offline,triggers,capa
instr_aber_futura,implements,measurement_vcd_capacitance
instr_hamilton_incytes,implements,measurement_vcd_capacitance
instr_sartorius_viamass,implements,measurement_vcd_capacitance
instr_nova_flex2,implements,measurement_atline_nova
instr_nova_flex2,implements,monitoring_ammonia_atline
instr_ovizio_ilinef,implements,measurement_ovizio_dhm
instr_fbrm_g400,implements,measurement_fbrm_cld
instr_flowcam,implements,measurement_aggregate_imaging
src_manstein,demonstrates,measurement_vcd_capacitance
src_borys,demonstrates,measurement_aggregate_imaging
src_kropp,demonstrates,measurement_aggregate_imaging
src_raman_graf2022,demonstrates,measurement_raman_inline
src_krause2023,explains,measurement_vcd_capacitance
src_aber_futura,specifies,instr_aber_futura
src_hamilton_incytes,specifies,instr_hamilton_incytes
src_sartorius_viamass,specifies,instr_sartorius_viamass
src_nova_flex2,specifies,instr_nova_flex2
src_ovizio_ilinef,specifies,instr_ovizio_ilinef
src_fbrm_g400,specifies,instr_fbrm_g400
src_flowcam,specifies,instr_flowcam
d6,has,tech_control
d6,has,audit_schema
d6,has,approval_log
d6,has,data_lifecycle
d6,has,llm_validation
d6,has,ebr_derivation
d5,has,event_store
tech_control,enforces,alcoa
tech_control,enforces,part11
alcoa,constrains,audit_schema
alcoa,constrains,ebr_derivation
part11,requires,approval_log
part11,requires,audit_schema
audit,implements,audit_schema
csv,validates,tech_control
capa,uses,audit_schema
gctp,governs,tech_control
loop,generates,audit_schema
loop,uses,approval_log
ctrl_split,constrains,approval_log
data_lifecycle,governs,datamodel
data_lifecycle,governs,audit
ebr_derivation,derives,ebr
ebr_derivation,derived_from,event_store
llm_validation,validates,loop
event_store,feeds,ebr_derivation
event_store,feeds,audit
src_fda_data_integrity,explains,alcoa
src_fda_data_integrity,explains,tech_control
src_part11,specifies,part11
src_part11,specifies,audit_schema
src_fda_csa,informs,csv
src_fda_csa,informs,tech_control
src_gamp5,informs,csv
src_gamp5,informs,tech_control
src_gamp5_ai,informs,llm_validation
src_annex11,specifies,part11
src_annex11,specifies,ebr_derivation
src_pics041,explains,alcoa
src_pics041,explains,audit_schema
src_who_gdrp,explains,alcoa
src_who_gdrp,explains,data_lifecycle
d4,has,tier2_plant_model
tier2_plant_model,implements,kinetics
tier2_plant_model,simulates,suspension
tier2_plant_model,validates,loop
tier2_plant_model,feeds,bbo
plant_model_interface,defines,tier2_plant_model
plant_model_calibration,calibrates,tier2_plant_model
multifidelity_sim,uses,tier2_plant_model
plant_model_regression,tests,tier2_plant_model
cobrapy_gem,extends,tier2_plant_model
aggregate_formation_model,extends,tier2_plant_model
shear_stress_model,extends,tier2_plant_model
src_scipy,implements,tier2_plant_model
src_botorch,informs,bbo
src_ax,informs,bbo
src_cobrapy,informs,cobrapy_gem
loop,requires_approval,approval_workflow
sched,triggers,approval_workflow
bbo,proposes_to,approval_workflow
human_on_the_loop,approves,approval_workflow
approval_workflow,logs_to,audit
approval_workflow,produces,ebr
approval_workflow,escalates_via,escalation_policy
approval_workflow,emits,approval_request_event
approval_request_event,stored_in,datamodel
escalation_policy,governs,approval_workflow
hmi_dashboard,displays,loop
hmi_dashboard,displays,envmon
hmi_dashboard,displays,cpv
hmi_dashboard,displays,bbo
hmi_dashboard,displays,approval_workflow
qccrit,informs,hmi_dashboard
growth,informs,hmi_dashboard
alert_matrix,manages,loop
alert_matrix,suppresses,notification_suppression
notification_suppression,applies_to,loop
sterility,triggers,contamination_response
contamination_response,activates,capa
contamination_response,requests_hold,ctrl_split
ctrl_split,preserves,degraded_mode
degraded_mode,preserves,loop
degraded_mode,preserves,sched
audit_ui,reads,audit
audit_ui,reads,ebr
audit_ui,reads,datamodel
src_nist_ai_rmf,informs,approval_workflow
src_nist_ai_rmf,informs,human_on_the_loop
src_iec62366,informs,hmi_dashboard
src_isa101,informs,hmi_dashboard
src_isa101,informs,alert_matrix
