source,rel,target
src_cxa,illustrates,diffdet
src_susp,reports,suspension
d1,has,kinetics
kinetics,reproduces,suspension
kinetics,validates,loop
src_borys,demonstrates,suspension
src_kropp,demonstrates,suspension
src_traj,reports,suspension
src_manstein,defines,kinetics
src_manstein,demonstrates,suspension
src_galv,informs,kinetics
src_lads,specifies,opcua
gateway,bridges_to,opcua
d4,has,ctrl_split
ctrl_split,constrains,loop
csv,validates,ctrl_split
d5,has,devprofile
devprofile,uses,opcua
gateway,implements,devprofile
cpv,feeds,loop
src_manstein,demonstrates,cpv
recipe_executor,implements,loop
recipe_dsl,defines,recipe_executor
rule_engine,evaluates,recipe_executor
state_machine_l1,governs,recipe_executor
l0_local_pid,controls,closeddev
l0_fail_safe,protects,l0_local_pid
ctrl_split,separates,l0_local_pid
ctrl_split,separates,recipe_executor
ax_bayesian,optimizes,bbo
botorch,powers,ax_bayesian
multi_fidelity,uses,kinetics
multi_fidelity,extends,bbo
safe_bo,constrains,bbo
batch_bo,extends,bbo
llm_orchestrator,extends,loop
llm_orchestrator,mediates,human_approval
approval_workflow,requires,human_approval
approval_workflow,constrains,loop
idempotency,ensures,loop
validate_tool_call,constrains,recipe_executor
set_perfusion_rate,part_of,recipe_executor
set_agitation_rpm,part_of,recipe_executor
trigger_passage_l1,triggers,passage
take_sample_l1,feeds,cpv
recipe_executor,commands,dispense
recipe_executor,commands,closeddev
bbo,optimizes,suspension
kinetics,validates,recipe_executor
kinetics,defines,cpp_glucose
kinetics,defines,cpp_lactate
kinetics,defines,cpp_glutamine
kinetics,defines,cpp_osmolality
kinetics,defines,cpp_aggregate_diameter
src_manstein,defines,cpp_perfusion_rate
src_borys,defines,cpp_agitation
src_borys,constrains,cpp_aggregate_diameter
cpp_perfusion_rate,controls,cpp_glucose
cpp_perfusion_rate,controls,cpp_lactate
cpp_perfusion_rate,controls,cpp_osmolality
cpp_glucose,triggers,perfusion_trigger
cpp_lactate,triggers,perfusion_trigger
cpp_osmolality,triggers,perfusion_trigger
perfusion_trigger,commands,tool_set_perfusion_rate
ramp_limit,constrains,tool_set_perfusion_rate
ramp_limit,constrains,tool_set_agitation_rpm
cpp_aggregate_diameter,triggers,tool_trigger_passage
cpp_vcd,triggers,tool_trigger_passage
y_27632,part_of,passage
tool_trigger_passage,requires,y_27632
cpv,measures,cpp_vcd
cpv,measures,cpp_glucose
cpv,measures,cpp_lactate
cpv,measures,cpp_glutamine
cpv,measures,cpp_osmolality
cpv,measures,cpp_ammonia
cpv,measures,cpp_viability
envmon,measures,cpp_ph
envmon,measures,cpp_do
envmon,measures,cpp_temp
bbo,optimizes,cpp_agitation
bbo,optimizes,cpp_perfusion_rate
bbo,optimizes,cpp_aggregate_diameter
ctrl_split,constrains,cpp_ph
ctrl_split,constrains,cpp_do
ctrl_split,constrains,cpp_temp
ctrl_split,constrains,cpp_agitation
devprofile,contains,cpp_ph
devprofile,contains,cpp_do
devprofile,contains,cpp_temp
devprofile,contains,cpp_agitation
devprofile,contains,cpp_perfusion_rate
qccrit,verifies,cpp_viability
qccrit,verifies,cpp_aggregate_diameter
src_yehya2024,supports,cpp_agitation
src_xing2008,informs,cpp_osmolality
src_nova_flex2,enables,cpv
loop,commands,tool_set_perfusion_rate
loop,commands,tool_set_agitation_rpm
loop,commands,tool_trigger_passage
csv,validates,ramp_limit
opcua,contains,lads_functional_unit
lads_functional_unit,has,lads_sensor_function
lads_functional_unit,has,lads_controller_function
lads_functional_unit,has,lads_actuator_function
lads_functional_unit,has,lads_program_result
lads_sensor_function,provides,envmon
lads_sensor_function,provides,cpv
lads_controller_function,commands,closeddev
lads_actuator_function,commands,dispense
lads_program_result,records,ebr
sila,contains,sila_feature
sila_feature,integrates,peripheral_sampler
sila_feature,integrates,peripheral_dispenser
sila_feature,integrates,peripheral_atline_analyzer
peripheral_atline_analyzer,verifies,cpv
devprofile,defines,lads_functional_unit
devprofile,defines,sila_feature
devprofile,defines,mqtt_topic_contract
gateway,translates,lads_functional_unit
gateway,translates,sila_feature
gateway,bridges_to,mqtt_topic_contract
gateway_cmd_ack,implements,mqtt_topic_contract
icd_setpoint_envelope,constrains,lads_controller_function
icd_setpoint_envelope,constrains,lads_actuator_function
icd_setpoint_envelope,validates,ctrl_split
src_lads,specifies,lads_functional_unit
src_sila,specifies,sila_feature
src_mqtt5,specifies,mqtt_topic_contract
cpv,uses,measurement_vcd_capacitance
cpv,uses,measurement_raman_inline
cpv,uses,measurement_atline_nova
cpv,uses,measurement_aggregate_imaging
cpv,uses,measurement_fbrm_cld
cpv,uses,measurement_ovizio_dhm
measurement_vcd_capacitance,state_for,loop
measurement_raman_inline,state_for,loop
measurement_atline_nova,state_for,loop
measurement_aggregate_imaging,state_for,loop
measurement_fbrm_cld,state_for,loop
measurement_ovizio_dhm,state_for,loop
measurement_vcd_capacitance,feeds,growth
measurement_atline_nova,feeds,growth
measurement_aggregate_imaging,evaluates,qccrit
measurement_aggregate_imaging,triggers,passage
dlmodel,powers,measurement_aggregate_imaging
bf,input_to,measurement_aggregate_imaging
monitoring_ammonia_atline,state_for,loop
monitoring_quality_offline,verifies,qccrit
monitoring_quality_offline,optimizes,bbo
monitoring_sterility_offline,guards,closeddev
monitoring_sterility_offline,triggers,capa
instr_aber_futura,implements,measurement_vcd_capacitance
instr_hamilton_incytes,implements,measurement_vcd_capacitance
instr_sartorius_viamass,implements,measurement_vcd_capacitance
instr_nova_flex2,implements,measurement_atline_nova
instr_nova_flex2,implements,monitoring_ammonia_atline
instr_ovizio_ilinef,implements,measurement_ovizio_dhm
instr_fbrm_g400,implements,measurement_fbrm_cld
instr_flowcam,implements,measurement_aggregate_imaging
src_manstein,demonstrates,measurement_vcd_capacitance
src_borys,demonstrates,measurement_aggregate_imaging
src_kropp,demonstrates,measurement_aggregate_imaging
src_raman_graf2022,demonstrates,measurement_raman_inline
src_krause2023,explains,measurement_vcd_capacitance
src_aber_futura,specifies,instr_aber_futura
src_hamilton_incytes,specifies,instr_hamilton_incytes
src_sartorius_viamass,specifies,instr_sartorius_viamass
src_nova_flex2,specifies,instr_nova_flex2
src_ovizio_ilinef,specifies,instr_ovizio_ilinef
src_fbrm_g400,specifies,instr_fbrm_g400
src_flowcam,specifies,instr_flowcam
d6,has,tech_control
d6,has,audit_schema
d6,has,approval_log
d6,has,data_lifecycle
d6,has,llm_validation
d6,has,ebr_derivation
d5,has,event_store
tech_control,enforces,alcoa
tech_control,enforces,part11
alcoa,constrains,audit_schema
alcoa,constrains,ebr_derivation
part11,requires,approval_log
part11,requires,audit_schema
audit,implements,audit_schema
csv,validates,tech_control
capa,uses,audit_schema
gctp,governs,tech_control
loop,generates,audit_schema
loop,uses,approval_log
ctrl_split,constrains,approval_log
data_lifecycle,governs,datamodel
data_lifecycle,governs,audit
ebr_derivation,derives,ebr
ebr_derivation,derived_from,event_store
llm_validation,validates,loop
event_store,feeds,ebr_derivation
event_store,feeds,audit
src_fda_data_integrity,explains,alcoa
src_fda_data_integrity,explains,tech_control
src_part11,specifies,part11
src_part11,specifies,audit_schema
src_fda_csa,informs,csv
src_fda_csa,informs,tech_control
src_gamp5,informs,csv
src_gamp5,informs,tech_control
src_gamp5_ai,informs,llm_validation
src_annex11,specifies,part11
src_annex11,specifies,ebr_derivation
src_pics041,explains,alcoa
src_pics041,explains,audit_schema
src_who_gdrp,explains,alcoa
src_who_gdrp,explains,data_lifecycle
d4,has,tier2_plant_model
tier2_plant_model,implements,kinetics
tier2_plant_model,simulates,suspension
tier2_plant_model,validates,loop
tier2_plant_model,feeds,bbo
plant_model_interface,defines,tier2_plant_model
plant_model_calibration,calibrates,tier2_plant_model
multifidelity_sim,uses,tier2_plant_model
plant_model_regression,tests,tier2_plant_model
cobrapy_gem,extends,tier2_plant_model
aggregate_formation_model,extends,tier2_plant_model
shear_stress_model,extends,tier2_plant_model
src_scipy,implements,tier2_plant_model
src_botorch,informs,bbo
src_ax,informs,bbo
src_cobrapy,informs,cobrapy_gem
loop,requires_approval,approval_workflow
sched,triggers,approval_workflow
bbo,proposes_to,approval_workflow
human_on_the_loop,approves,approval_workflow
approval_workflow,logs_to,audit
approval_workflow,produces,ebr
approval_workflow,escalates_via,escalation_policy
approval_workflow,emits,approval_request_event
approval_request_event,stored_in,datamodel
escalation_policy,governs,approval_workflow
hmi_dashboard,displays,loop
hmi_dashboard,displays,envmon
hmi_dashboard,displays,cpv
hmi_dashboard,displays,bbo
hmi_dashboard,displays,approval_workflow
qccrit,informs,hmi_dashboard
growth,informs,hmi_dashboard
alert_matrix,manages,loop
alert_matrix,suppresses,notification_suppression
notification_suppression,applies_to,loop
sterility,triggers,contamination_response
contamination_response,activates,capa
contamination_response,requests_hold,ctrl_split
ctrl_split,preserves,degraded_mode
degraded_mode,preserves,loop
degraded_mode,preserves,sched
audit_ui,reads,audit
audit_ui,reads,ebr
audit_ui,reads,datamodel
src_nist_ai_rmf,informs,approval_workflow
src_nist_ai_rmf,informs,human_on_the_loop
src_iec62366,informs,hmi_dashboard
src_isa101,informs,hmi_dashboard
src_isa101,informs,alert_matrix
d4,has,mpc
mpc,specializes,mpc_ipsc_perfusion
mpc,implements,loop
mpc_ipsc_perfusion,controls,set_perfusion_rate
mpc_ipsc_perfusion,controls,cpp_perfusion_rate
mpc_ipsc_perfusion,constrains,cpp_glucose
mpc_ipsc_perfusion,constrains,cpp_lactate
mpc_ipsc_perfusion,constrains,cpp_glutamine
mpc_ipsc_perfusion,constrains,cpp_osmolality
mpc_ipsc_perfusion,constrains,cpp_aggregate_diameter
mpc,uses,tier2_plant_model
mpc_ipsc_perfusion,uses,measurement_vcd_capacitance
mpc_ipsc_perfusion,uses,measurement_raman_inline
mpc_ipsc_perfusion,uses,measurement_atline_nova
mpc_ipsc_perfusion,uses,measurement_aggregate_imaging
mpc_lactate_feedback,uses,cpp_lactate
mpc_lactate_feedback,demonstrated_by,src_van_beylen2020
mpc,uses,mpc_model_types
mpc,uses,mpc_constraints
mpc,uses,mpc_prediction_horizon
mpc,uses,mpc_control_horizon
mpc,uses,mpc_adaptive_update
mpc,requires,mpc_fail_safe
mpc,requires,mpc_human_on_the_loop
mpc,implemented_by,mpc_implementation_libraries
mpc_implementation_libraries,includes,src_casadi
mpc_implementation_libraries,includes,src_do_mpc
mpc_implementation_libraries,includes,src_acados
dynamic_perfusion_ipsc,demonstrated_by,src_huang2020
dynamic_perfusion_ipsc,optimizable_by,mpc_ipsc_perfusion
cpsr_control,related_to,mpc_ipsc_perfusion
mpc,compared_to,mpc_vs_rule_engine
mpc_vs_rule_engine,contrasts,rule_engine
mpc_roadmap_l1,plans,mpc
mpc_roadmap_l1,extends,recipe_executor
mpc,demonstrated_by,src_rashedi2022
mpc_human_on_the_loop,oversees,mpc
mpc_fail_safe,preserves,loop
d4,has,pinn
d4,has,digital_twin
d4,has,hybrid_ode_nn
d4,has,uncertainty_quantification
d4,has,multifidelity_pinn
pinn,implements,digital_twin
hybrid_ode_nn,implements,digital_twin
universal_differential_equation,implements,hybrid_ode_nn
neural_ode,implements,hybrid_ode_nn
digital_twin,extends,tier2_plant_model
hybrid_ode_nn,extends,tier2_plant_model
pinn,researches,loop
pinn_mpc,researches,loop
uncertainty_quantification,quantifies,pinn
uncertainty_quantification,quantifies,hybrid_ode_nn
uncertainty_quantification,quantifies,digital_twin
deep_ensemble,implements,uncertainty_quantification
bayesian_pinn,implements,uncertainty_quantification
efi_pinn,implements,uncertainty_quantification
mc_dropout,implements,uncertainty_quantification
gp_bias_correction,implements,uncertainty_quantification
gp_bias_correction,corrects,tier2_plant_model
multifidelity_pinn,uses,digital_twin
multifidelity_pinn,uses,hybrid_ode_nn
multifidelity_pinn,enhances,bbo
multifidelity_pinn,enhances,multi_fidelity
digital_twin_calibration,calibrates,digital_twin
digital_twin_calibration,calibrates,hybrid_ode_nn
model_mismatch_correction,corrects,multifidelity_pinn
model_mismatch_correction,corrects,digital_twin
prediction_confidence_score,explains,loop
prediction_confidence_score,drives,human_approval
prediction_confidence_score,drives,approval_workflow
data_requirement_pinn,constrains,bbo
data_requirement_pinn,constrains,sdl
data_requirement_pinn,constrains,digital_twin
kinetic_cell_model,part_of,digital_twin
reactor_model,part_of,digital_twin
extracellular_reaction_model,part_of,digital_twin
kinetic_cell_model,models,suspension
reactor_model,models,suspension
kinetics,informs,pinn
kinetics,informs,hybrid_ode_nn
cpv,feeds,digital_twin
cpv,feeds,hybrid_ode_nn
qccrit,verifies,digital_twin
csv,validates,digital_twin
csv,validates,hybrid_ode_nn
audit,logs,digital_twin
audit,logs,hybrid_ode_nn
part11,constrains,digital_twin
alcoa,constrains,digital_twin
recipe_executor,succeeds,pinn_mpc
rule_engine,succeeds,pinn_mpc
state_machine_l1,succeeds,pinn_mpc
llm_orchestrator,explains,prediction_confidence_score
safe_bo,uses,prediction_confidence_score
batch_bo,uses,multifidelity_pinn
multi_fidelity,includes,multifidelity_pinn
src_thirugnanasambandam_2025,informs,pinn
src_yang_2024_pinn,informs,pinn
src_yang_2024_pinn,informs,hybrid_ode_nn
src_catalao_2025,informs,pinn_mpc
src_patel_2024,informs,pinn_mpc
src_shih_2025,informs,efi_pinn
src_shih_2025,informs,uncertainty_quantification
src_nobar_2025,informs,multifidelity_pinn
src_nobar_2025,informs,model_mismatch_correction
src_bioprocesstools_2026,defines,data_requirement_pinn
src_bioprocessintl_2026,supports,multifidelity_pinn
src_yokogawa_pharma40,defines,digital_twin
src_yokogawa_pharma40,defines,reactor_model
src_yokogawa_pharma40,defines,extracellular_reaction_model
src_yokogawa_pharma40,defines,kinetic_cell_model
src_pharma_manufacturing_2022,supports,digital_twin
src_manstein,informs,hybrid_ode_nn
src_manstein,informs,pinn
src_ax,informs,multifidelity_pinn
src_botorch,informs,multifidelity_pinn
raman_calibration_ipsc,instance_of,cpv
raman_calibration_ipsc,uses,measurement_raman_inline
raman_calibration_ipsc,uses,measurement_vcd_capacitance
raman_calibration_ipsc,uses,measurement_atline_nova
raman_calibration_ipsc,calibrates,measurement_raman_inline
raman_calibration_ipsc,informs,loop
raman_calibration_ipsc,informs,bbo
raman_pls_model,implements,raman_calibration_ipsc
raman_pls_model,requires,raman_reference_nova
raman_reference_nova,instance_of,measurement_atline_nova
raman_reference_nova,calibrates,raman_pls_model
raman_cell_scattering,causes,raman_aggregate_interference
raman_cell_scattering,constrains,raman_pls_model
raman_aggregate_interference,constrains,raman_pls_model
raman_cell_scattering,constrains,measurement_raman_inline
raman_aggregate_interference,constrains,measurement_raman_inline
raman_cho_to_ipsc_transfer,constrains,raman_calibration_ipsc
raman_cho_to_ipsc_transfer,constrains,raman_pls_model
raman_model_lifecycle,manages,raman_pls_model
raman_model_lifecycle,requires,audit
raman_model_lifecycle,requires,alcoa
raman_confidence_score,evaluates,raman_pls_model
raman_confidence_score,triggers,human_approval
raman_confidence_score,triggers,approval_workflow
src_abu_absi_2011,supports,measurement_raman_inline
src_matthews_2016,supports,measurement_raman_inline
src_berry_2015,supports,raman_pls_model
src_yan_2024,supports,raman_pls_model
src_costa_2024,supports,raman_calibration_ipsc
src_yang_2024_raman,supports,raman_cell_scattering
src_petillot_2020,supports,raman_cho_to_ipsc_transfer
src_machleidt_2024,supports,raman_cho_to_ipsc_transfer
src_rowland_jones_2021,supports,raman_cho_to_ipsc_transfer
src_bioprocesstools_raman,supports,raman_pls_model
src_metrohm_an_pan_1065,supports,measurement_raman_inline
src_repligen_maverick,supports,measurement_raman_inline
src_yokogawa_2023,supports,measurement_raman_inline
d1,has,add_cho_ipsc_cho_metabolism
d1,has,add_cho_ipsc_ipsc_metabolism
d4,has,add_cho_ipsc_aggregate_size_cpp
d4,has,add_cho_ipsc_mab_titer_objective
d4,has,add_cho_ipsc_pluripotency_objective
d4,has,add_cho_ipsc_transfer_caution
d7,has,add_cho_ipsc_lactate_threshold
d7,has,add_cho_ipsc_ammonia_threshold
d7,has,add_cho_ipsc_osmolality_threshold
d7,has,add_cho_ipsc_glucose_threshold
add_cho_ipsc_cho_metabolism,differs_from,add_cho_ipsc_ipsc_metabolism
add_cho_ipsc_ipsc_metabolism,exhibits,add_cho_ipsc_glycolytic_shift
add_cho_ipsc_glycolytic_shift,increases,cpp_glucose
add_cho_ipsc_glycolytic_shift,increases,cpp_lactate
add_cho_ipsc_lactate_threshold,constrains,cpp_lactate
add_cho_ipsc_ammonia_threshold,monitors,cpp_ammonia
add_cho_ipsc_osmolality_threshold,constrains,cpp_osmolality
add_cho_ipsc_glucose_threshold,constrains,cpp_glucose
add_cho_ipsc_aggregate_size_cpp,influences,add_cho_ipsc_aggregate_oxygen_diffusion
add_cho_ipsc_aggregate_oxygen_diffusion,limits,cpp_viability
add_cho_ipsc_aggregate_size_cpp,triggers,tool_trigger_passage
add_cho_ipsc_shear_sensitivity,constrains,cpp_agitation
add_cho_ipsc_mab_titer_objective,contrasts_with,add_cho_ipsc_pluripotency_objective
add_cho_ipsc_pluripotency_objective,measured_by,add_cho_ipsc_qc_marker_panel
add_cho_ipsc_qc_marker_panel,implemented_by,monitoring_quality_offline
add_cho_ipsc_pluripotency_objective,optimizes,bbo
add_cho_ipsc_transfer_caution,governs,add_cho_ipsc_cpp_reinterpretation
add_cho_ipsc_cpp_reinterpretation,modifies,bbo
add_cho_ipsc_cpp_reinterpretation,modifies,recipe_executor
src_add_cho_ipsc_manstein2021,defines,add_cho_ipsc_ipsc_metabolism
src_add_cho_ipsc_manstein2021,defines,add_cho_ipsc_glucose_threshold
src_add_cho_ipsc_manstein2021,defines,add_cho_ipsc_lactate_threshold
src_add_cho_ipsc_manstein2021,defines,add_cho_ipsc_osmolality_threshold
src_add_cho_ipsc_borys2021,defines,add_cho_ipsc_aggregate_size_cpp
src_add_cho_ipsc_borys2021,defines,add_cho_ipsc_shear_sensitivity
src_add_cho_ipsc_huang2020,informs,add_cho_ipsc_aggregate_oxygen_diffusion
src_add_cho_ipsc_xing2008,informs,add_cho_ipsc_cho_metabolism
src_add_cho_ipsc_toussaint2016,illustrates,add_cho_ipsc_cho_metabolism
src_add_cho_ipsc_mabion2025,informs,add_cho_ipsc_cho_metabolism
src_add_cho_ipsc_gfi2025,informs,add_cho_ipsc_cho_metabolism
src_add_cho_ipsc_seo2021,informs,add_cho_ipsc_pluripotency_objective
src_add_cho_ipsc_stemcellpis,defines,add_cho_ipsc_aggregate_size_cpp
src_add_cho_ipsc_amsbio,defines,add_cho_ipsc_qc_marker_panel
src_add_cho_ipsc_chen2014,informs,add_cho_ipsc_aggregate_oxygen_diffusion
d6,has,annex22
d6,has,critical_ai
d6,has,noncritical_ai
d6,has,static_model
d6,has,deterministic_output
d6,has,dynamic_model
d6,has,probabilistic_model
d6,has,generative_ai
d6,has,hitl
d6,has,xai
d6,has,confidence_score
d6,has,feature_attribution
d6,has,drift_monitoring
d6,has,test_data_independence
d6,has,staff_independence
d6,has,data_segregation
d6,has,static_deterministic_proof
d6,has,esignature
d6,has,gamp_ai_lifecycle
annex22,complements,part11
annex22,constrains,loop
annex22,constrains,llm_orchestrator
annex22,defines,critical_ai
annex22,defines,noncritical_ai
critical_ai,requires,static_model
critical_ai,requires,deterministic_output
static_model,produces,deterministic_output
critical_ai,prohibits,dynamic_model
critical_ai,prohibits,probabilistic_model
critical_ai,prohibits,generative_ai
noncritical_ai,permits,generative_ai
noncritical_ai,requires,hitl
generative_ai,isa,probabilistic_model
llm_orchestrator,isa,generative_ai
critical_ai,requires,xai
xai,uses,feature_attribution
critical_ai,requires,confidence_score
confidence_score,triggers,hitl
critical_ai,requires,drift_monitoring
critical_ai,requires,test_data_independence
test_data_independence,requires,data_segregation
test_data_independence,requires,staff_independence
static_deterministic_proof,proves,static_model
static_deterministic_proof,proves,deterministic_output
part11,requires,esignature
esignature,implements,approval_log
gamp_ai_lifecycle,governs,critical_ai
gamp_ai_lifecycle,governs,noncritical_ai
human_approval,implements,hitl
approval_workflow,implements,hitl
loop,uses,confidence_score
drift_monitoring,monitors,loop
alcoa,constrains,data_segregation
csv,validates,static_deterministic_proof
tech_control,enforces,annex22
src_pics_annex22_draft,specifies,annex22
src_eu_ai_act,informs,annex22
src_gamp5_ai,informs,gamp_ai_lifecycle
d2,has,add_aggimg_aggregate_imaging_survey
d7,has,add_aggimg_dhm_ovizio
d7,has,add_aggimg_fbrm_cld_detail
d7,has,add_aggimg_flowcam_atline
d7,has,add_aggimg_brightfield_atline
add_aggimg_aggregate_imaging_survey,uses,add_aggimg_dhm_ovizio
add_aggimg_aggregate_imaging_survey,uses,add_aggimg_fbrm_cld_detail
add_aggimg_aggregate_imaging_survey,uses,add_aggimg_flowcam_atline
add_aggimg_aggregate_imaging_survey,uses,add_aggimg_brightfield_atline
add_aggimg_aggregate_imaging_survey,evaluates,qccrit
add_aggimg_aggregate_imaging_survey,triggers,passage
add_aggimg_aggregate_imaging_survey,informs,cpp_aggregate_diameter
add_aggimg_aggregate_quality_proxy,predicts,qccrit
add_aggimg_dl_morphology_pluripotency,implements,add_aggimg_aggregate_quality_proxy
add_aggimg_aggregate_size_pluripotency,informs,add_aggimg_aggregate_quality_proxy
add_aggimg_aggregate_size_pluripotency,constrains,cpp_aggregate_diameter
add_aggimg_2d_to_aggregate_transfer,transfers,dlmodel
add_aggimg_2d_to_aggregate_transfer,adapts,add_aggimg_aggregate_quality_proxy
add_aggimg_2d_to_aggregate_transfer,differs_from,conf
add_aggimg_human_approval_imaging,oversees,add_aggimg_aggregate_quality_proxy
add_aggimg_human_approval_imaging,requires_approval,approval_workflow
add_aggimg_src_borys_2021,demonstrates,add_aggimg_aggregate_size_pluripotency
add_aggimg_src_eppendorf_485,illustrates,add_aggimg_brightfield_atline
add_aggimg_src_stemcell_mtesr3d,guides,add_aggimg_aggregate_size_pluripotency
add_aggimg_src_kropp_2019,demonstrates,add_aggimg_brightfield_atline
add_aggimg_src_ovizio_ilinef,specifies,add_aggimg_dhm_ovizio
add_aggimg_src_fbrm_g400,specifies,add_aggimg_fbrm_cld_detail
add_aggimg_src_flowcam,specifies,add_aggimg_flowcam_atline
add_aggimg_src_chu_2023,demonstrates,add_aggimg_dl_morphology_pluripotency
add_aggimg_src_park_2022,demonstrates,add_aggimg_dl_morphology_pluripotency
add_aggimg_src_piotrowski_2021,demonstrates,add_aggimg_dl_morphology_pluripotency
add_aggimg_src_waisman_2019,demonstrates,add_aggimg_dl_morphology_pluripotency
add_aggimg_src_maddah_2014,demonstrates,add_aggimg_dl_morphology_pluripotency
add_aggimg_src_kato_2016,demonstrates,add_aggimg_dl_morphology_pluripotency
add_aggimg_src_gursky_2023,informs,add_aggimg_2d_to_aggregate_transfer
